artist_name,estimate_high,estimate_low,sold_price,auction_year,creation_year,material,surface,surface_area,image_path
Yuan Fang,15450.0,10300.0,91567.0,2023,2022.0,1,0,18577.56,contemporary_images/181014.jpg
Kyle Dunn,20600.0,15450.0,36626.8,2023,2017.0,1,4,4434.7,contemporary_images/183446.jpg
Emma Webster,72100.0,51500.0,222377.0,2023,2020.0,0,3,35866.4,contemporary_images/181312.jpg
Daisy Dodd-Noble,7210.0,5150.0,71945.5,2023,2020.0,0,0,11141.660000000002,contemporary_images/180503.jpg
Laure Mary-Couégnias,12360.0,8240.0,34010.6,2023,2021.0,0,0,17680.0,contemporary_images/180519.jpg
Bisa Butler,36050.0,25750.0,71945.5,2023,2016.0,2,4,4199.04,contemporary_images/179915.jpg
Derrick Adams,72100.0,51500.0,222377.0,2023,2018.0,1,1,20662.38,contemporary_images/179914.jpg
Jo Messer,7210.0,5150.0,12426.95,2023,2021.0,2,1,4776.0,contemporary_images/178126.jpg
George Rouy,10300.0,7210.0,39243.0,2023,2017.0,1,0,2585.2000000000003,contemporary_images/180966.jpg
Ilana Savdie,61800.0,41200.0,68021.2,2023,2016.0,0,0,13579.660000000002,contemporary_images/179370.jpg
Tammy Nguyen,30900.0,20600.0,91567.0,2023,2020.0,2,1,3717.9500000000003,contemporary_images/181916.jpg
Anna Park,72100.0,51500.0,170053.0,2023,2019.0,2,1,30678.120000000003,contemporary_images/181958.jpg
Haley Josephs,30900.0,20600.0,45783.5,2023,2019.0,0,3,22210.18,contemporary_images/180461.jpg
Kajahl,18540.0,12360.0,13081.0,2023,2019.0,0,0,23228.3,contemporary_images/180221.jpg
Henry Gunderson,15450.0,10300.0,11118.85,2023,2016.0,1,0,29719.22,contemporary_images/181917.jpg
Deborah Roberts,72100.0,51500.0,91567.0,2023,2017.0,2,1,4293.12,contemporary_images/180577.jpg
Tschabalala Self,61800.0,41200.0,71945.5,2023,2014.0,1,0,4450.08,contemporary_images/181167.jpg
